department,female,male,total,female_pct
harvard,155,339,494,31.4
tinbergen,89,204,293,30.4
lse,65,184,249,26.1
cornell,93,129,222,41.9
uva,66,150,216,30.6
duke,63,138,201,31.3
stanford,55,127,182,30.2
columbia,49,133,182,26.9
upenn,45,133,178,25.3
minnesota,34,136,170,20.0
wisconsin,55,112,167,32.9
bostonu,46,114,160,28.7
bc,59,97,156,37.8
michigan,45,110,155,29.0
brown,37,104,141,26.2
jhu,39,81,120,32.5
ucsd,38,80,118,32.2
toulouse,31,78,109,28.4
oxford,35,59,94,37.2
eui,37,56,93,39.8
cemfi,21,68,89,23.6
wustl,23,61,84,27.4
su_iies,27,56,83,32.5
mannheim,18,62,80,22.5
chicago,14,49,63,22.2
zurich,25,36,61,41.0
warwick,22,37,59,37.3
vanderbilt,14,45,59,23.7
rochester,11,47,58,19.0
utaustin,11,30,41,26.8
maryland,15,18,33,45.5
notre_dame,5,18,23,21.7
mcgill,5,11,16,31.2
yale,2,3,5,40.0
sciencespo,2,0,2,100.0
usc,0,1,1,0.0
