year,n_total,n_female,female_share_pct
1991,6,0.0,0.0
1992,2,0.0,0.0
1993,6,1.0,16.7
1994,10,4.0,40.0
1995,11,5.0,45.5
1996,9,1.0,11.1
1997,8,1.0,12.5
1998,10,5.0,50.0
1999,7,1.0,14.3
2000,6,4.0,66.7
2001,14,3.0,21.4
2002,28,13.0,46.4
2003,20,7.0,35.0
2004,37,17.0,45.9
2005,75,30.0,40.0
2006,103,36.0,35.0
2007,96,31.0,32.3
2008,105,38.0,36.2
2009,123,33.0,26.8
2010,124,33.0,26.6
2011,161,43.0,26.7
2012,176,45.0,25.6
2013,178,54.0,30.3
2014,209,61.0,29.2
2015,199,60.0,30.2
2016,222,58.0,26.1
2017,255,73.0,28.6
2018,292,76.0,26.0
2019,206,63.0,30.6
2020,252,74.0,29.4
2021,270,82.0,30.4
2022,310,86.0,27.7
2023,316,96.0,30.4
2024,300,110.0,36.7
2025,311,107.0,34.4
